m_ageb;fx
10;0,000256213
11;0,000243403
12;0,000307456
13;0,000678965
14;0,001473226
15;0,00525237
16;0,019818089
17;0,052049705
18;0,102843966
19;0,163797079
20;0,228490904
21;0,277735076
22;0,325352293
23;0,348398668
24;0,370522675
25;0,381834486
26;0,388483218
27;0,390789137
28;0,390686651
29;0,390596977
30;0,381450167
31;0,380463746
32;0,369689982
33;0,358506277
34;0,351345119
35;0,333512683
36;0,325019216
37;0,307494235
38;0,286535998
39;0,268396106
40;0,238431975
41;0,211311811
42;0,176133743
43;0,136202921
44;0,097604407
45;0,062323853
46;0,037227774
47;0,019241609
48;0,010607225
49;0,008429413
50;0,007263643
